"","is","ferdatimi_skoli","styrikerfi_simi","ferdamati_skoli","systkini_fjoldi","dyr","feministi","staerdfraedi_gaman","smjor_kostar","napoleon_faeddur","stefnumot","messi_staerd","kosid"
"93","Súkkulaði",25,"iOS","Gangandi / skokkandi",1,"Hunda","Rétt",3,600,1760,"Á ísrúnt",164,"Rétt"
"94","Súkkulaði",25,"iOS","Með strætó",3,"Ketti","Rétt",8,453,1873,"Í fjallgöngu",172,"Rétt"
"95","Súkkulaði",15,"Android","Með einkabíl",3,"Ketti","Rétt",9,599,1850,"Á kaffihús",160,"Rétt"
"96","Súkkulaði",2,"Android","Gangandi / skokkandi",3,"Hunda","Rangt",5,750,1856,"Á ísrúnt",162,"Rétt"
"97","Jarðaberja",10,"Android","Gangandi / skokkandi",2,"Hunda","Rétt",9,489,1789,"Á kaffihús",173,"Rétt"
"98","Jarðaberja",15,"iOS","Með einkabíl",2,"Ketti","Rétt",4,600,1700,"Á ísrúnt",175,"Rangt"
"99","Súkkulaði",15,"iOS","Með einkabíl",2,"Hunda","Rétt",9,399,1769,"Á ísrúnt",174,"Rangt"
"100","Súkkulaði",10,"Android","Gangandi / skokkandi",3,"Hunda","Rangt",7,750,1589,"Á ísrúnt",168,"Rangt"
"101","Súkkulaði",20,"iOS","Með einkabíl",2,"Hunda","Rangt",8,694,1769,"Á ísrúnt",170,"Rétt"
"102","Vanilla",43,"iOS","Með strætó",2,"Hunda","Rétt",9,500,1820,"Á kaffihús",160,"Rétt"
"103","Súkkulaði",20,"iOS","Með strætó",1,"Ketti","Rétt",8,499,1811,"Á kaffihús",179,"Rangt"
"104","Súkkulaði",25,"iOS","Með einkabíl",1,"Ketti","Rétt",8,689,1450,"Á kaffihús",172,"Rangt"
"105","Súkkulaði",20,"Android","Með einkabíl",8,"Hunda","Rétt",8,250,1597,"Á kaffihús",165,"Rétt"
"106","Súkkulaði",0,"Android","Á annan hátt",3,"Ketti","Rétt",8,450,1790,"Á kaffihús",168,"Rétt"
"107","Jarðaberja",70,"iOS","Með strætó",5,"Ketti","Rétt",6,645,1875,"Á ísrúnt",166,"Rétt"
"108","Vanilla",20,"iOS","Með einkabíl",2,"Hunda","Rétt",8,600,1769,"Á ísrúnt",160,"Rétt"
"109","Súkkulaði",20,"iOS","Með einkabíl",1,"Hunda","Rangt",4,600,1769,"Á kaffihús",169,"Rétt"
"110","Súkkulaði",30,"Android","Með einkabíl",3,"Hunda","Rangt",7,200,1841,"Á kaffihús",154,"Rétt"
"111","Súkkulaði",10,"iOS","Með einkabíl",2,"Hunda","Rétt",8,650,1750,"Á kaffihús",167,"Rétt"
"112","Vanilla",50,"iOS","Með einkabíl",4,"Hunda","Rétt",6,900,1813,"Á ísrúnt",173,"Rétt"
"113","Vanilla",0,"iOS","Á annan hátt",4,"Ketti","Rétt",9,396,1700,"Á ísrúnt",1.73,"Rétt"
"114","Jarðaberja",10,"iOS","Með einkabíl",2,"Ketti","Rétt",5,450,1750,"Á kaffihús",170,"Rangt"
"115","Jarðaberja",0,"Android","Á annan hátt",1,"Hunda","Rangt",4,379,1718,"Á ísrúnt",179,"Rangt"
"116","Súkkulaði",7,"iOS","Með einkabíl",2,"Ketti","Rétt",8,700,1780,"Í fjallgöngu",175,"Rétt"
"117","Jarðaberja",30,"Android","Gangandi / skokkandi",2,"Hunda","Rétt",4,650,1750,"Í bíó",165,"Rétt"
"118","Jarðaberja",30,"iOS","Með strætó",1,"Ketti","Rétt",6,398,1774,"Á kaffihús",1.86,"Rétt"
"119","Súkkulaði",3,"iOS","Gangandi / skokkandi",2,"Ketti","Rétt",8,798,1742,"Á kaffihús",167,"Rétt"
"120","Vanilla",50,"iOS","Með einkabíl",2,"Hunda","Rangt",8,600,1769,"Á ísrúnt",170,"Rétt"
"121","Vanilla",35,"iOS","Með strætó",2,"Ketti","Rétt",7,575,1800,"Í fjallgöngu",178,"Rétt"
"122","Vanilla",5,"Android","Gangandi / skokkandi",4,"Hunda","Rangt",9,700,1769,"Á kaffihús",173,"Rétt"
"123","Súkkulaði",25,"Android","Með strætó",2,"Ketti","Rétt",7,450,1780,"Á ísrúnt",180,"Rétt"
"124","Súkkulaði",20,"Android","Með einkabíl",3,"Hunda","Rétt",4,400,1820,"Í fjallgöngu",180,"Rétt"
"125","Vanilla",40,"iOS","Með strætó",2,"Ketti","Rétt",9,565,1756,"Á kaffihús",167,"Rangt"
"126","Vanilla",20,"iOS","Með einkabíl",1,"Hunda","Rétt",7,480,1746,"Á ísrúnt",170,"Rétt"
"127","Súkkulaði",15,"iOS","Með einkabíl",3,"Hunda","Rangt",7,600,1760,"Á ísrúnt",158,"Rétt"
"128","Súkkulaði",50,"iOS","Með einkabíl",2,"Hunda","Rétt",7,560,1650,"Á ísrúnt",172,"Rétt"
"129","Súkkulaði",20,"Android","Með einkabíl",2,"Ketti","Rétt",3,700,1700,"Í fjallgöngu",169,"Rétt"
"130","Vanilla",4,"iOS","Gangandi / skokkandi",7,"Hunda","Rétt",6,768,1848,"Á ísrúnt",191,"Rangt"
"131","Vanilla",3,"iOS","Gangandi / skokkandi",1,"Hunda","Rétt",5,720,1715,"Á ísrúnt",168,"Rétt"
"132","Súkkulaði",5,"iOS","Gangandi / skokkandi",3,"Hunda","Rangt",9,750,1887,"Á ísrúnt",156,"Rangt"
"133","Vanilla",5,"iOS","Gangandi / skokkandi",1,"Hunda","Rangt",7,550,1895,"Á ísrúnt",169,"Rangt"
"134","Jarðaberja",5,"iOS","Með einkabíl",3,"Hunda","Rétt",7,467,1768,"Á kaffihús",174,"Rétt"
"135","Súkkulaði",14,"iOS","Með einkabíl",1,"Ketti","Rétt",9,750,1845,"Á ísrúnt",160,"Rétt"
"136","Jarðaberja",12,"iOS","Gangandi / skokkandi",2,"Hunda","Rétt",7,487,1821,"Á ísrúnt",183,"Rétt"
"137","Vanilla",20,"Android","Með einkabíl",2,"Ketti","Rétt",7,459,1769,"Á kaffihús",168,"Rangt"
"138","Vanilla",10,"iOS","Með strætó",1,"Hunda","Rangt",6,750,1810,"Á ísrúnt",160,"Rangt"
"139","Vanilla",5,"iOS","Gangandi / skokkandi",1,"Hunda","Rangt",9,999,1400,"Á ísrúnt",157,"Rétt"
"140","Súkkulaði",20,"iOS","Með strætó",6,"Hunda","Rétt",8,699,1854,"Á ísrúnt",169,"Rangt"
"141","Vanilla",30,"iOS","Með einkabíl",4,"Ketti","Rétt",8,380,1769,"Á kaffihús",164,"Rangt"
